timestamp,lat,lon,alt,target_lat,target_lon,target_alt,roll,pitch,yaw
1769581159.8640785,0,0,0,0,0,0,0,0,0
1769581160.1563892,0,0,0,0,0,0,0,0,0
1769581160.4567795,0,0,0,0,0,0,0,0,0
1769581160.7497504,0,0,0,0,0,0,0,0,0
1769581161.0484853,0,0,0,0,0,0,0,0,0
1769581161.344863,0,0,0,0,0,0,0,0,0
1769581161.6470683,0,0,0,0,0,0,0,0,0
1769581161.9441428,0,0,0,0,0,0,0,0,0
1769581162.241726,0,0,0,0,0,0,0,0,0
1769581162.5415063,0,0,0,0,0,0,0,0,0
1769581162.8371723,0,0,0,0,0,0,0,0,0
1769581163.1345594,0,0,0,0,0,0,0,0,0
1769581163.4315581,0,0,0,0,0,0,0,0,0
1769581163.7271156,0,0,0,0,0,0,0,0,0
1769581164.024077,0,0,0,0,0,0,0,0,0
1769581164.3175588,0,0,0,0,0,0,0,0,0
1769581164.6155002,0,0,0,0,0,0,0,0,0
1769581164.9048584,0,0,0,0,0,0,0,0,0
1769581165.2017498,0,0,0,0,0,0,0,0,0
1769581165.4954731,0,0,0,0,0,0,0,0,0
1769581165.7919292,0,0,0,0,0,0,0,0,0
1769581166.0928102,0,0,0,0,0,0,0,0,0
1769581166.3875911,0,0,0,0,0,0,0,0,0
1769581166.6832817,0,0,0,0,0,0,0,0,0
1769581166.9790158,0,0,0,0,0,0,0,0,0
1769581167.2744262,0,0,0,0,0,0,0,0,0
1769581167.5700285,0,0,0,0,0,0,0,0,0
1769581167.8650472,0,0,0,0,0,0,0,0,0
1769581168.1621468,0,0,0,0,0,0,0,0,0
1769581168.4568996,0,0,0,0,0,0,0,0,0
1769581168.757898,0,0,0,0,0,0,0,0,0
1769581169.054521,0,0,0,0,0,0,0,0,0
1769581169.350189,0,0,0,0,0,0,0,0,0
1769581169.644339,0,0,0,0,0,0,0,0,0
1769581169.9405,0,0,0,0,0,0,0,0,0
1769581170.2357726,0,0,0,0,0,0,0,0,0
1769581170.5304499,0,0,0,0,0,0,0,0,0
1769581170.8232682,0,0,0,0,0,0,0,0,0
1769581171.1147556,0,0,0,0,0,0,0,0,0
1769581171.4051213,0,0,0,0,0,0,0,0,0
1769581171.6974976,0,0,0,0,0,0,0,0,0
1769581171.987607,0,0,0,0,0,0,0,0,0
1769581172.2792926,0,0,0,0,0,0,0,0,0
1769581172.570856,0,0,0,0,0,0,0,0,0
1769581172.8635695,0,0,0,0,0,0,0,0,0
1769581173.1525745,0,0,0,0,0,0,0,0,0
1769581173.4424636,0,0,0,0,0,0,0,0,0
1769581173.7339828,0,0,0,0,0,0,0,0,0
1769581174.022347,0,0,0,0,0,0,0,0,0
1769581174.3203735,0,0,0,0,0,0,0,0,0
1769581174.6179922,0,0,0,0,0,0,0,0,0
1769581174.9069138,0,0,0,0,0,0,0,0,0
1769581175.2050257,0,0,0,0,0,0,0,0,0
1769581175.499918,0,0,0,0,0,0,0,0,0
1769581175.793238,0,0,0,0,0,0,0,0,0
1769581176.0845065,0,0,0,0,0,0,0,0,0
1769581176.3760955,0,0,0,0,0,0,0,0,0
1769581176.6726508,0,0,0,0,0,0,0,0,0
1769581176.9701235,0,0,0,0,0,0,0,0,0
1769581177.2693527,0,0,0,0,0,0,0,0,0
1769581177.5633056,0,0,0,0,0,0,0,0,0
1769581177.8559957,0,0,0,0,0,0,0,0,0
1769581178.1513178,0,0,0,0,0,0,0,0,0
1769581178.4457617,0,0,0,0,0,0,0,0,0
1769581178.740397,0,0,0,0,0,0,0,0,0
1769581179.0314758,0,0,0,0,0,0,0,0,0
1769581179.345941,0,0,0,0,0,0,0,0,0
1769581179.6237962,0,0,0,0,0,0,0,0,0
1769581179.915141,0,0,0,0,0,0,0,0,0
1769581180.213276,0,0,0,0,0,0,0,0,0
1769581180.5095918,0,0,0,0,0,0,0,0,0
1769581180.802332,0,0,0,0,0,0,0,0,0
1769581181.1005137,0,0,0,0,0,0,0,0,0
1769581181.396382,0,0,0,0,0,0,0,0,0
1769581181.6934223,0,0,0,0,0,0,0,0,0
1769581181.9825687,0,0,0,0,0,0,0,0,0
1769581182.2755957,0,0,0,0,0,0,0,0,0
1769581182.5726233,0,0,0,0,0,0,0,0,0
1769581182.86686,0,0,0,0,0,0,0,0,0
1769581183.1573162,0,0,0,0,0,0,0,0,0
1769581183.4534857,0,0,0,0,0,0,0,0,0
1769581183.7471323,0,0,0,0,0,0,0,0,0
1769581184.0432076,0,0,0,0,0,0,0,0,0
1769581184.3485417,0,0,0,0,0,0,0,0,0
1769581184.6303117,0,0,0,0,0,0,0,0,0
1769581184.9300628,0,0,0,0,0,0,0,0,0
1769581185.230141,0,0,0,0,0,0,0,0,0
1769581185.5235267,0,0,0,0,0,0,0,0,0
1769581185.8230772,0,0,0,0,0,0,0,0,0
1769581186.1140442,0,0,0,0,0,0,0,0,0
1769581186.4086585,0,0,0,0,0,0,0,0,0
1769581186.7041218,0,0,0,0,0,0,0,0,0
1769581186.999005,0,0,0,0,0,0,0,0,0
1769581187.2944367,0,0,0,0,0,0,0,0,0
1769581187.6031172,0,0,0,0,0,0,0,0,0
1769581187.8981173,0,0,0,0,0,0,0,0,0
1769581188.1967273,0,0,0,0,0,0,0,0,0
1769581188.4973247,0,0,0,0,0,0,0,0,0
1769581188.7929888,0,0,0,0,0,0,0,0,0
1769581189.083035,0,0,0,0,0,0,0,0,0
1769581189.3834717,0,0,0,0,0,0,0,0,0
1769581189.666809,0,0,0,0,0,0,0,0,0
1769581189.9679823,0,0,0,0,0,0,0,0,0
1769581190.2707317,0,0,0,0,0,0,0,0,0
1769581190.5633333,0,0,0,0,0,0,0,0,0
1769581190.8589392,0,0,0,0,0,0,0,0,0
1769581191.1584892,0,0,0,0,0,0,0,0,0
1769581191.4573526,0,0,0,0,0,0,0,0,0
1769581191.7541137,0,0,0,0,0,0,0,0,0
1769581192.0548537,0,0,0,0,0,0,0,0,0
1769581192.3474927,0,0,0,0,0,0,0,0,0
1769581192.6502976,0,0,0,0,0,0,0,0,0
1769581192.9424498,0,0,0,0,0,0,0,0,0
1769581193.2393339,0,0,0,0,0,0,0,0,0
1769581193.530972,0,0,0,0,0,0,0,0,0
1769581193.825541,0,0,0,0,0,0,0,0,0
1769581194.118863,0,0,0,0,0,0,0,0,0
1769581194.414946,0,0,0,0,0,0,0,0,0
1769581194.708947,0,0,0,0,0,0,0,0,0
1769581195.005916,0,0,0,0,0,0,0,0,0
1769581195.3012044,0,0,0,0,0,0,0,0,0
1769581195.596925,0,0,0,0,0,0,0,0,0
1769581195.8909366,0,0,0,0,0,0,0,0,0
1769581196.189035,0,0,0,0,0,0,0,0,0
1769581196.4861283,0,0,0,0,0,0,0,0,0
1769581196.785699,0,0,0,0,0,0,0,0,0
1769581197.0840962,0,0,0,0,0,0,0,0,0
1769581197.3830364,0,0,0,0,0,0,0,0,0
