timestamp,roll,pitch,yaw,throttle,switch,fail_flag
1769581159.6311219,0,0,0,0,0,0
1769581159.9301445,0,0,0,0,0,0
1769581160.2229156,0,0,0,0,0,0
1769581160.5205176,0,0,0,0,0,0
1769581160.814983,0,0,0,0,0,0
1769581161.1142488,0,0,0,0,0,0
1769581161.4119084,0,0,0,0,0,0
1769581161.714182,0,0,0,0,0,0
1769581162.0094552,0,0,0,0,0,0
1769581162.307216,0,0,0,0,0,0
1769581162.6049142,0,0,0,0,0,0
1769581162.904949,0,0,0,0,0,0
1769581163.2002814,0,0,0,0,0,0
1769581163.4969401,0,0,0,0,0,0
1769581163.7914388,0,0,0,0,0,0
1769581164.0868475,0,0,0,0,0,0
1769581164.3821275,0,0,0,0,0,0
1769581164.6755378,0,0,0,0,0,0
1769581164.9696536,0,0,0,0,0,0
1769581165.264726,0,0,0,0,0,0
1769581165.5604267,0,0,0,0,0,0
1769581165.8570821,0,0,0,0,0,0
1769581166.1554792,0,0,0,0,0,0
1769581166.4526017,0,0,0,0,0,0
1769581166.7479327,0,0,0,0,0,0
1769581167.0463004,0,0,0,0,0,0
1769581167.3401308,0,0,0,0,0,0
1769581167.6357613,0,0,0,0,0,0
1769581167.9291599,0,0,0,0,0,0
1769581168.2263515,0,0,0,0,0,0
1769581168.5236034,0,0,0,0,0,0
1769581168.8237166,0,0,0,0,0,0
1769581169.1182601,0,0,0,0,0,0
1769581169.414943,0,0,0,0,0,0
1769581169.7098439,0,0,0,0,0,0
1769581170.005489,0,0,0,0,0,0
1769581170.3000681,0,0,0,0,0,0
1769581170.5941596,0,0,0,0,0,0
1769581170.8870358,0,0,0,0,0,0
1769581171.178117,0,0,0,0,0,0
1769581171.4685707,0,0,0,0,0,0
1769581171.7597792,0,0,0,0,0,0
1769581172.0502675,0,0,0,0,0,0
1769581172.3432062,0,0,0,0,0,0
1769581172.6363578,0,0,0,0,0,0
1769581172.9255528,0,0,0,0,0,0
1769581173.2168355,0,0,0,0,0,0
1769581173.5055118,0,0,0,0,0,0
1769581173.7959998,0,0,0,0,0,0
1769581174.0900497,0,0,0,0,0,0
1769581174.3824947,0,0,0,0,0,0
1769581174.6797235,0,0,0,0,0,0
1769581174.9702396,0,0,0,0,0,0
1769581175.2701378,0,0,0,0,0,0
1769581175.5645344,0,0,0,0,0,0
1769581175.8568332,0,0,0,0,0,0
1769581176.1474836,0,0,0,0,0,0
1769581176.4395351,0,0,0,0,0,0
1769581176.7392821,0,0,0,0,0,0
1769581177.0328243,0,0,0,0,0,0
1769581177.3295743,0,0,0,0,0,0
1769581177.625086,0,0,0,0,0,0
1769581177.9192204,0,0,0,0,0,0
1769581178.2111173,0,0,0,0,0,0
1769581178.5109398,0,0,0,0,0,0
1769581178.8040214,0,0,0,0,0,0
1769581179.0942574,0,0,0,0,0,0
1769581179.38811,0,0,0,0,0,0
1769581179.6862507,0,0,0,0,0,0
1769581179.981157,0,0,0,0,0,0
1769581180.2837033,0,0,0,0,0,0
1769581180.5731506,0,0,0,0,0,0
1769581180.868345,0,0,0,0,0,0
1769581181.1635149,0,0,0,0,0,0
1769581181.4612615,0,0,0,0,0,0
1769581181.7533016,0,0,0,0,0,0
1769581182.0479631,0,0,0,0,0,0
1769581182.3381498,0,0,0,0,0,0
1769581182.63529,0,0,0,0,0,0
1769581182.9295301,0,0,0,0,0,0
1769581183.226035,0,0,0,0,0,0
1769581183.5158682,0,0,0,0,0,0
1769581183.812277,0,0,0,0,0,0
1769581184.1074495,0,0,0,0,0,0
1769581184.4012442,0,0,0,0,0,0
1769581184.695183,0,0,0,0,0,0
1769581184.994563,0,0,0,0,0,0
1769581185.294118,0,0,0,0,0,0
1769581185.585936,0,0,0,0,0,0
1769581185.8862343,0,0,0,0,0,0
1769581186.1803284,0,0,0,0,0,0
1769581186.472409,0,0,0,0,0,0
1769581186.7681756,0,0,0,0,0,0
1769581187.0647004,0,0,0,0,0,0
1769581187.3637512,0,0,0,0,0,0
1769581187.6652374,0,0,0,0,0,0
1769581187.9629216,0,0,0,0,0,0
1769581188.2642024,0,0,0,0,0,0
1769581188.5612593,0,0,0,0,0,0
1769581188.8550785,0,0,0,0,0,0
1769581189.1482744,0,0,0,0,0,0
1769581189.4401493,0,0,0,0,0,0
1769581189.7331944,0,0,0,0,0,0
1769581190.0305626,0,0,0,0,0,0
1769581190.3334453,0,0,0,0,0,0
1769581190.6268916,0,0,0,0,0,0
1769581190.922678,0,0,0,0,0,0
1769581191.2244642,0,0,0,0,0,0
1769581191.522527,0,0,0,0,0,0
1769581191.8158047,0,0,0,0,0,0
1769581192.1165948,0,0,0,0,0,0
1769581192.4164703,0,0,0,0,0,0
1769581192.7135775,0,0,0,0,0,0
1769581193.0094948,0,0,0,0,0,0
1769581193.3047388,0,0,0,0,0,0
1769581193.5958307,0,0,0,0,0,0
1769581193.8897562,0,0,0,0,0,0
1769581194.1847456,0,0,0,0,0,0
1769581194.4791794,0,0,0,0,0,0
1769581194.7724175,0,0,0,0,0,0
1769581195.069281,0,0,0,0,0,0
1769581195.3654222,0,0,0,0,0,0
1769581195.6634748,0,0,0,0,0,0
1769581195.9551756,0,0,0,0,0,0
1769581196.251507,0,0,0,0,0,0
1769581196.5498328,0,0,0,0,0,0
1769581196.849984,0,0,0,0,0,0
1769581197.1514778,0,0,0,0,0,0
1769581197.454571,0,0,0,0,0,0
