timestamp,remote_roll,remote_pitch,remote_yaw,remote_throttle,remote_switch,remote_fail
1769581159.6311088,0,0,0,0,0,0
1769581159.9301133,0,0,0,0,0,0
1769581160.222891,0,0,0,0,0,0
1769581160.5204928,0,0,0,0,0,0
1769581160.8149598,0,0,0,0,0,0
1769581161.1142285,0,0,0,0,0,0
1769581161.4118872,0,0,0,0,0,0
1769581161.7141573,0,0,0,0,0,0
1769581162.0094335,0,0,0,0,0,0
1769581162.307191,0,0,0,0,0,0
1769581162.6048934,0,0,0,0,0,0
1769581162.9049265,0,0,0,0,0,0
1769581163.2002606,0,0,0,0,0,0
1769581163.496916,0,0,0,0,0,0
1769581163.7914166,0,0,0,0,0,0
1769581164.0868254,0,0,0,0,0,0
1769581164.3821068,0,0,0,0,0,0
1769581164.6755111,0,0,0,0,0,0
1769581164.969632,0,0,0,0,0,0
1769581165.2647042,0,0,0,0,0,0
1769581165.560406,0,0,0,0,0,0
1769581165.857057,0,0,0,0,0,0
1769581166.155463,0,0,0,0,0,0
1769581166.4525802,0,0,0,0,0,0
1769581166.7479131,0,0,0,0,0,0
1769581167.0462723,0,0,0,0,0,0
1769581167.3401096,0,0,0,0,0,0
1769581167.6357327,0,0,0,0,0,0
1769581167.9291341,0,0,0,0,0,0
1769581168.2263393,0,0,0,0,0,0
1769581168.523581,0,0,0,0,0,0
1769581168.8236926,0,0,0,0,0,0
1769581169.1182513,0,0,0,0,0,0
1769581169.4149187,0,0,0,0,0,0
1769581169.7098205,0,0,0,0,0,0
1769581170.0054677,0,0,0,0,0,0
1769581170.3000455,0,0,0,0,0,0
1769581170.5941346,0,0,0,0,0,0
1769581170.8870115,0,0,0,0,0,0
1769581171.178108,0,0,0,0,0,0
1769581171.4685614,0,0,0,0,0,0
1769581171.7597702,0,0,0,0,0,0
1769581172.0502422,0,0,0,0,0,0
1769581172.3431833,0,0,0,0,0,0
1769581172.6363356,0,0,0,0,0,0
1769581172.9255416,0,0,0,0,0,0
1769581173.2168272,0,0,0,0,0,0
1769581173.5055025,0,0,0,0,0,0
1769581173.7959895,0,0,0,0,0,0
1769581174.0900238,0,0,0,0,0,0
1769581174.3824863,0,0,0,0,0,0
1769581174.679715,0,0,0,0,0,0
1769581174.9702237,0,0,0,0,0,0
1769581175.2701285,0,0,0,0,0,0
1769581175.5645258,0,0,0,0,0,0
1769581175.8568108,0,0,0,0,0,0
1769581176.1474757,0,0,0,0,0,0
1769581176.439512,0,0,0,0,0,0
1769581176.739261,0,0,0,0,0,0
1769581177.0328164,0,0,0,0,0,0
1769581177.3295581,0,0,0,0,0,0
1769581177.6250634,0,0,0,0,0,0
1769581177.9191973,0,0,0,0,0,0
1769581178.211104,0,0,0,0,0,0
1769581178.510931,0,0,0,0,0,0
1769581178.8039992,0,0,0,0,0,0
1769581179.0942469,0,0,0,0,0,0
1769581179.3881016,0,0,0,0,0,0
1769581179.6862285,0,0,0,0,0,0
1769581179.981137,0,0,0,0,0,0
1769581180.283681,0,0,0,0,0,0
1769581180.5731416,0,0,0,0,0,0
1769581180.8683362,0,0,0,0,0,0
1769581181.1635065,0,0,0,0,0,0
1769581181.4612534,0,0,0,0,0,0
1769581181.753291,0,0,0,0,0,0
1769581182.04794,0,0,0,0,0,0
1769581182.338141,0,0,0,0,0,0
1769581182.6352804,0,0,0,0,0,0
1769581182.9295113,0,0,0,0,0,0
1769581183.2260084,0,0,0,0,0,0
1769581183.5158591,0,0,0,0,0,0
1769581183.8122692,0,0,0,0,0,0
1769581184.1074407,0,0,0,0,0,0
1769581184.4012346,0,0,0,0,0,0
1769581184.6951604,0,0,0,0,0,0
1769581184.994555,0,0,0,0,0,0
1769581185.2941096,0,0,0,0,0,0
1769581185.5859282,0,0,0,0,0,0
1769581185.8862202,0,0,0,0,0,0
1769581186.1803079,0,0,0,0,0,0
1769581186.4723997,0,0,0,0,0,0
1769581186.7681673,0,0,0,0,0,0
1769581187.0646782,0,0,0,0,0,0
1769581187.3637204,0,0,0,0,0,0
1769581187.6652296,0,0,0,0,0,0
1769581187.962909,0,0,0,0,0,0
1769581188.2641804,0,0,0,0,0,0
1769581188.5612497,0,0,0,0,0,0
1769581188.8548827,0,0,0,0,0,0
1769581189.1482537,0,0,0,0,0,0
1769581189.4401402,0,0,0,0,0,0
1769581189.7331738,0,0,0,0,0,0
1769581190.0305543,0,0,0,0,0,0
1769581190.3334231,0,0,0,0,0,0
1769581190.6268702,0,0,0,0,0,0
1769581190.92267,0,0,0,0,0,0
1769581191.2244556,0,0,0,0,0,0
1769581191.5225048,0,0,0,0,0,0
1769581191.8157918,0,0,0,0,0,0
1769581192.1165829,0,0,0,0,0,0
1769581192.4164243,0,0,0,0,0,0
1769581192.713566,0,0,0,0,0,0
1769581193.0094738,0,0,0,0,0,0
1769581193.3047297,0,0,0,0,0,0
1769581193.595806,0,0,0,0,0,0
1769581193.8897457,0,0,0,0,0,0
1769581194.1847353,0,0,0,0,0,0
1769581194.4791594,0,0,0,0,0,0
1769581194.7723923,0,0,0,0,0,0
1769581195.0692577,0,0,0,0,0,0
1769581195.3654065,0,0,0,0,0,0
1769581195.6634495,0,0,0,0,0,0
1769581195.9551535,0,0,0,0,0,0
1769581196.2514906,0,0,0,0,0,0
1769581196.5497742,0,0,0,0,0,0
1769581196.8499625,0,0,0,0,0,0
1769581197.1514564,0,0,0,0,0,0
1769581197.4545496,0,0,0,0,0,0
